name,school,city,state,ranking
Emmanuel Henderson,Geneva County,Hartford,AL,0.9809
Raleek Brown,Mater Dei,Santa Ana,CA,0.9808
Branson Robinson,Germantown,Madison,MS,0.9729
Le'Veon Moss,Istrouma,Baton Rouge,LA,0.9652
Jovantae Barnes,Desert Pines,Las Vegas,NV,0.9532
Kaytron Allen,IMG Academy,Bradenton,FL,0.9385
Trevor Etienne,Jennings,Jennings,LA,0.9261
Jaydon Blue,Klein Cain,Houston,TX,0.9226
Jordan James,Oakland,Murfreesboro,TN,0.9224
Rayshon Luke,St. John Bosco,Bellflower,CA,0.9178
Tevin White,North Stafford,Stafford,VA,0.9095
Jaydn Ott,Norco,Norco,CA,0.9049
Dallan Hayden,Christian Brothers,Memphis,TN,0.9041
Terrance Gibbs,Winter Park,Winter Park,FL,0.8966
Jamie Felix,Camden County,Kingsland,GA,0.8867
Andrew Paul,Parish Episcopal School,Dallas,TX,0.8826
Anthony Hankerson,St. Thomas Aquinas,Fort Lauderdale,FL,0.8737
Quintavious Lockett,Douglass,Atlanta,GA,0.8715
Luther Burden,East St. Louis,East Saint Louis,IL,0.9974
Evan Stewart,Liberty,Frisco,TX,0.994
Aaron Anderson,Edna Karr,New Orleans,LA,0.9832
Kevin Coleman,St. Mary's,Saint Louis,MO,0.9773
Shazz Preston,St. James,Saint James,LA,0.9768
Antonio Williams,Dutch Fork,Irmo,SC,0.9731
C.J. Williams,Mater Dei,Santa Ana,CA,0.9706
Andre Greene Jr.,St. Christopher's School,Richmond,VA,0.9704
Barion Brown,Pearl-Cohn,Nashville,TN,0.9586
Adam Randall,Myrtle Beach ,Myrtle Beach,SC,0.9549
Brenen Thompson,Spearman,Spearman,TX,0.9476
Caleb Burton,Lake Travis,Austin,TX,0.9465
Darrius Clemons,Westview,Portland,OR,0.9422
Kyler Kasper,Williams Field,Gilbert,AZ,0.9401
Kojo Antwi,Lambert,Suwanee,GA,0.94
Jayden Gibson,West Orange,Winter Garden,FL,0.9288
Armani Winfield,Lewisville,Lewisville,TX,0.9178
Shaleak Knotts,Monroe,Monroe,NC,0.9157
Chandler Smith,Mt. Dora,Mount Dora,FL,0.9135
De'Nylon Morrissette,North Cobb,Kennesaw,GA,0.9131
Janiran Bonner,Cedar Grove,Ellenwood,GA,0.9
Greg Gaines,Tampa Bay Tech,Tampa,FL,0.8978
Isaiah Horton,Oakland,Murfreesboro,TN,0.8948
Samuel Mbake,North Cobb,Kennesaw,GA,0.8904
Camden Brown,St. Thomas Aquinas,Fort Lauderdale,FL,0.8889
Dillon Bell,The Kinkaid School,Houston,TX,0.887
Squirrel White,Clay-Chalkville,Pinson,AL,0.8815
AJ Johnson,Western,Fort Lauderdale,FL,0.8804
Jay Fair,Rockwall-Heath,Rockwall,TX,0.8785
Cole Speer,Calhoun,Calhoun,GA,0.8722
Leon Haughton Jr.,Benedictine,Richmond,VA,0.8611
Mike Jackson,Miami Palmetto,Miami,FL,0.8474
Jake Johnson,Oconee County,Watkinsville,GA,0.9587
Oscar Delp,West Forsyth,Cumming,GA,0.9577
Jaleel Skinner,IMG Academy,Bradenton,FL,0.9562
Donovan Green,Dickinson,Dickinson,TX,0.9554
Holden Staes,Westminster School,Atlanta,GA,0.9026
Benji Gosnell,Carroll County,Hillsville,VA,0.9
Marlin Klein,Rabun Gap-Nacoochee School,Rabun Gap,GA,0.8815
CJ Hawkins,Berkeley Prep,Tampa,FL,0.8744
Marcus Peterson,Columbia,Lake City,FL,0.8674
Zach Rice,Liberty Christian Academy,Lynchburg,VA,0.9937
Will Campbell,Neville,Monroe,LA,0.983
Elijah Pritchett,Carver,Columbus,GA,0.9825
Kiyaunta Goodwin,Charlestown,Charlestown,IN,0.9823
Tyler Booker,IMG Academy,Bradenton,FL,0.9766
Collin Sadler,Greenville,Greenville,SC,0.9394
Fisher Anderson,Franklin,Franklin,TN,0.9068
E'Marion Harris,Joe T. Robinson,Little Rock,AR,0.9023
Eston Harris Jr.,Auburn,Auburn,AL,0.9008
Tony Livingston,King,Tampa,FL,0.8985
Aliou Bah,IMG Academy,Bradenton,FL,0.8971
Qae'shon Sapp,Lee County,Leesburg,GA,0.8967
Dayne Shor,Denmark,Alpharetta,GA,0.8933
Percy Lewis,Mississippi Gulf Coast C.C.,Perkinston,MS,0.8926
Cameron Williams,Duncanville,Duncanville,TX,0.8919
Jacob Hood,Hillsboro,Nashville,TN,0.8902
Cam East,St. Augustine,New Orleans,LA,0.877
Drew Bobo,Auburn,Auburn,AL,0.8748
Drew Bobo,Auburn,Auburn,AL,0.8748
Alessandro Lorenzetti,The Loomis Chaffee School,Windsor,CT,0.8741
Anez Cooper,Pleasant Grove ,Pleasant Grove,AL,0.8541
Travis Hunter,Collins Hill,Suwanee,GA,0.9999
Domani Jackson,Mater Dei,Santa Ana,CA,0.9952
Denver Harris,North Shore,Houston,TX,0.9889
Jaheim Singletary,Riverside,Jacksonville,FL,0.9878
Daylen Everette,IMG Academy,Bradenton,FL,0.9874
Jeadyn Lukus,Mauldin,Mauldin,SC,0.986
Toriano Pride,East St. Louis,East Saint Louis,IL,0.9673
Julian Humphrey,Clear Lake,Houston,TX,0.9655
Gentry Williams,Booker T. Washington,Tulsa,OK,0.959
Earl Little Jr.,American Heritage,Fort Lauderdale,FL,0.9552
Marquis Groves-Killebrew,North Cobb,Kennesaw,GA,0.9535
Trequon Fegans,Thompson,Alabaster,AL,0.953
Khamauri Rogers,Holmes County,Lexington,MS,0.9525
Laterrance Welch,Acadiana,Lafayette,LA,0.9503
