name,school,city,state,ranking
TreVeyon Henderson,Hopewell,Hopewell,VA,0.9872
Will Shipley,Weddington,Matthews,NC,0.9839
Camar Wheaton,Lakeview Centennial,Garland,TX,0.9834
Donovan Edwards,West Bloomfield,West Bloomfield,MI,0.9806
LJ Johnson,Cy-Fair,Cypress,TX,0.9779
Evan Pryor,William Amos Hough,Cornelius,NC,0.9628
Armoni Goodwin,Hewitt-Trussville,Trussville,AL,0.9584
Lovasea Carroll,IMG Academy,Bradenton,FL,0.9474
Brandon Campbell,Katy,Katy,TX,0.8978
Alton McCaskill,Oak Ridge,Conroe,TX,0.8893
Kyree Young,Washington,Massillon,OH,0.8659
Joseph McKay,Central,Phenix City,AL,0.8507
Emeka Egbuka,Steilacoom,Steilacoom,WA,0.9945
Ja'Corey Brooks,IMG Academy,Bradenton,FL,0.9861
Troy Franklin,Menlo-Atherton,Menlo Park,CA,0.9808
Mario Williams,Plant City,Plant City,FL,0.9801
Agiye Hall,Bloomingdale,Valrico,FL,0.9788
JoJo Earle,Aledo,Aledo,TX,0.9762
Xavier Worthy,Central East,Fresno,CA,0.9712
Deion Smith,Jackson Academy,Jackson,MS,0.969
Christian Leary,Edgewater,Orlando,FL,0.9672
Chris Hilton,Zachary,Zachary,LA,0.9646
Beaux Collins,St. John Bosco,Bellflower,CA,0.9624
Brian Thomas Jr.,Walker,Walker,LA,0.96
Deion Colzie,Athens Academy,Athens,GA,0.957
Cody Jackson,Foster,Richmond,TX,0.9505
Shadrach Banks,North Shore,Houston,TX,0.9492
Destyn Hill,Edna Karr,New Orleans,LA,0.9482
Jalil Farooq,Dr. Henry Wise,Upper Marlboro,MD,0.9441
Quaydarius Davis,Skyline,Dallas,TX,0.9372
Romello Brinson,Northwestern,Miami,FL,0.9368
Ketron Jackson,Royse City,Royse City,TX,0.929
Troy Stellato,Cardinal Gibbons,Fort Lauderdale,FL,0.9253
Dacari Collins,Westlake,Atlanta,GA,0.9248
Micah Crowell,East Forsyth,Kernersville,NC,0.921
Brashard Smith,Miami Palmetto,Miami,FL,0.9198
Kaden Prather,Northwest,Germantown,MD,0.9128
Theodore Knox,The Woodlands,The Woodlands,TX,0.9079
Jaquez Smith,Westlake,Atlanta,GA,0.9065
Malik McClain,IMG Academy,Bradenton,FL,0.9056
Jayden Thomas,Pace Academy,Atlanta,GA,0.8991
Dominic Lovett,East St. Louis,East Saint Louis,IL,0.8986
Jaden Alexis,Monarch,Pompano Beach,FL,0.8967
Caleb Coombs,St. John's,Washington,DC,0.88
Jordyn Williams,Trinity Christian School,Cedar Hill,TX,0.8719
Latrell Neville,Hightower,Missouri City,TX,0.8715
Jake Briningstool,Ravenwood,Brentwood,TN,0.9713
Thomas Fidone,Lewis Central,Council Bluffs,IA,0.9593
Michael Trigg,Carrollwood Day,Tampa,FL,0.9402
Moliki Matavao,Liberty,Henderson,NV,0.9324
Elijah Arroyo,Independence,Frisco,TX,0.9212
Jermaine Terry,Kennedy,Richmond,CA,0.9196
Hudson Wolfe,Hardin County,Savannah,TN,0.9193
