name,school,city,state,ranking
Najee Harris,Antioch,Antioch,CA,0.9984
Alex Leatherwood,Booker T. Washington,Pensacola,FL,0.9981
Dylan Moses,IMG Academy,Bradenton,FL,0.9922
Jerry Jeudy,Deerfield Beach,Deerfield Beach,FL,0.9881
LaBryan Ray,James Clemens,Madison,AL,0.9867
Tua Tagovailoa,St. Louis,Honolulu,HI,0.9843
Jedrick Wills,Lafayette,Lexington,KY,0.9831
Xavier McKinney,Roswell,Roswell,GA,0.9723
DeVonta Smith,Amite,Amite,LA,0.9717
Henry Ruggs III,Robert E. Lee,Montgomery,AL,0.964
VanDarius Cowan,Palm Beach Gardens,Palm Beach Gardens,FL,0.9628
Tyrell Shavers,Lewisville,Lewisville,TX,0.9587
Jarez Parks,Sebastian River,Sebastian,FL,0.9575
Isaiah Buggs,Mississippi Gulf Coast C.C.,Perkinston,MS,0.9551
Markail Benton,Central,Phenix City,AL,0.9532
Phidarian Mathis,Neville,Monroe,LA,0.9528
Christopher Allen,Southern Lab,Baton Rouge,LA,0.952
Daniel Wright,Boyd Anderson,Fort Lauderdale,FL,0.9436
Brian Robinson,Hillcrest,Tuscaloosa,AL,0.9361
Chadarius Townsend,Tanner,Tanner,AL,0.9259
Kendall Randolph,Bob Jones ,Madison,AL,0.9252
Elliot Baker,City College of San Francisco,San Francisco,CA,0.9223
Major Tennison,Bullard,Bullard,TX,0.8985
Kedrick James,La Vega,Waco,TX,0.8921
Mac Jones,The Bolles School,Jacksonville,FL,0.8815
Kyriq McDonald,James Clemens,Madison,AL,0.8705
Hunter Brannon,Cullman,Cullman,AL,0.8463
Joseph Bulovas,Mandeville,Mandeville,LA,0.8321
Thomas Fletcher,IMG Academy,Bradenton,FL,0.7853
