name,school,city,state,ranking
Kelee Ringo,Saguaro,Scottsdale,AZ,0.9976
Broderick Jones,Lithonia,Lithonia,GA,0.9947
Jalen Carter,Apopka,Apopka,FL,0.9912
Darnell Washington,Desert Pines,Las Vegas,NV,0.9893
MJ Sherman,St. John's,Washington,DC,0.983
Tate Ratledge,Darlington School,Rome,GA,0.9821
Kendall Milton,Buchanan,Clovis,CA,0.9738
Marcus Rosemy-Jacksaint,St. Thomas Aquinas,Fort Lauderdale,FL,0.9734
Arian Smith,Lakeland,Lakeland,FL,0.9722
Sedrick Van Pran,Warren Easton,New Orleans,LA,0.9713
Jermaine Burton,Calabasas,Calabasas,CA,0.9646
Jalen Kimber,Mansfield Timberview,Arlington,TX,0.9534
Chad Lindberg,Clear Creek,League City,TX,0.9366
Major Burns,Madison Prep Academy,Baton Rouge,LA,0.9258
Nazir Stackhouse,Columbia,Decatur,GA,0.9097
Carson Beck,Mandarin,Jacksonville,FL,0.9095
Daijun Edwards,Colquitt County,Moultrie,GA,0.9023
Justin Robinson,Eagle's Landing Christian,Mcdonough,GA,0.8997
Warren Brinson,IMG Academy,Bradenton,FL,0.8977
Austin Blaske,South Effingham,Guyton,GA,0.8759
Daran Branch,Amite,Amite,LA,0.8668
Devin Willock,Paramus Catholic,Paramus,NJ,0.8573
Ladd McConkey,North Murray,Chatsworth,GA,0.8485
Cameron Kinnie,Collins Hill,Suwanee,GA,0.8343
Jared Zirkel,Tivy,Kerrville,TX,0.8263
