name,school,city,state,ranking
Oluwole Betiku Jr.,Junipero Serra,Gardena,CA,0.9884
Jack Jones,Long Beach Poly,Long Beach,CA,0.9872
Tyler Vaughns,Bishop Amat,La Puente,CA,0.9816
Michael Pittman Jr.,Oaks Christian,Westlake Village,CA,0.9688
E.J. Price,Archer,Lawrenceville,GA,0.9575
Jamel Cook,Miami Central,Miami,FL,0.9538
Trevon Sidney,Bishop Amat,La Puente,CA,0.936
Josh Imatorbhebhe,North Gwinnett,Suwanee,GA,0.9314
Frank Martin II,Mater Dei,Santa Ana,CA,0.9185
Vavae Malepeai,Mililani,Mililani,HI,0.9147
Cary Angeline,Downingtown East ,Exton,PA,0.9064
Connor Murphy,Brophy College Preparatory,Phoenix,AZ,0.9063
C.J. Pollard,Junipero Serra,Gardena,CA,0.9038
Nathan Smith,Murrieta Mesa,Murrieta,CA,0.8998
Keyshawn Pie Young,Miami Senior,Miami,FL,0.8825
Matt Fink,Glendora,Glendora,CA,0.8739
Velus Jones Jr.,Saraland,Saraland,AL,0.8727
Jordan Iosefa,St Louis School,Honolulu,HI,0.8527
Liam Jimmons,Huntington Beach,Huntington Beach,CA,0.8453
Josh Fatu,Long Beach City College,Long Beach,CA,0.8278
Jordan Iosefa,St Louis School,Honolulu,HI,0.8333
