name,school,city,state,ranking
Mique Juarez,North High School,Torrance,CA,0.9924
Theo Howard,Westlake,Westlake Village,CA,0.9533
Boss Tagaloa,De La Salle,Concord,CA,0.9486
Breland Brandt,Windward School,Los Angeles,CA,0.9431
Lokeni Toailoa,Wilmer Amina Carter,Rialto,CA,0.939
Krys Barnes,Liberty,Bakersfield,CA,0.935
Damian Alloway,Summit,Fontana,CA,0.9316
Brandon Burton,Junipero Serra,Gardena,CA,0.925
Dymond Lee,Chaminade,West Hills,CA,0.9056
Devon Modster,Tesoro,Rancho Santa Margarita,CA,0.8964
Audie Omotosho,Plano East,Plano,TX,0.8933
Michael Alves,St Augustine,San Diego,CA,0.886
Demetric Felton,Great Oak,Temecula,CA,0.8838
Brandon Stephens,Plano,Plano,TX,0.8791
Alex Akingbulu,Narbonne,Harbor City,CA,0.8696
Nick Terry,American River C.C.,Sacramento,CA,0.8681
Osa Odighizuwa,Douglas,Portland,OR,0.8665
Marcus Moore,Crespi,Encino,CA,0.862
Francisco Perez,Baldwin Park,Baldwin Park,CA,0.8588
Jordan Wilson,Montgomery Bell Academy,Nashville,TN,0.8574
Matt Lynch,Legacy,Broomfield,CO,0.8565
JJ Molson,John Abbott College,Sainte-Anne-de-Bellevue,QC,0.8504
Jake Burton,Granite Hills,El Cajon,CA,0.8503
Keyon Riley,Servite,Anaheim,CA,0.8463
Leni Toailoa,Wilmer Amina Carter,Rialto,CA,0.8381
Jalen Starks,Crespi,Encino,CA,0.8305
Austin Kent,Providence,Charlotte,NC,0.8115
Johnny Den Bleyker,Moreau Catholic,Hayward,CA,0.7848
Ethan Fernea,Dripping Springs,Dripping Springs,TX,0
Koby Walsh,Notre Dame,Sherman Oaks,CA,0
Bryan Weitzman,Oak Park,Oak Park,CA,0
Chigozie Nnoruka,American River C.C.,Sacramento,CA,0
