name,school,city,state,ranking
Jacob Eason,Lake Stevens,Lake Stevens,WA,0.9975
KJ Costello,Santa Margarita Catholic,Rancho Santa Margarita,CA,0.9749
Malik Henry,Long Beach Poly,Long Beach,CA,0.9747
Dwayne Haskins,The Bullis School,Potomac,MD,0.9561
Devon Modster,Tesoro,Rancho Santa Margarita,CA,0.8964
Dillon Sterling-Cole,Westfield,Houston,TX,0.8923
Nick Starkel,Liberty Christian,Argyle,TX,0.8671
Matt Lynch,Legacy,Broomfield,CO,0.8565
Jon Randall Belton,West Monroe,West Monroe,LA,0.8536
Jarrett Guarantano,Bergen Catholic,Oradell,NJ,0.9628
Armani Rogers,Hamilton,Los Angeles,CA,0.8596
Demario McCall,North Ridgeville,North Ridgeville,OH,0.9767
Damian Alloway,Summit,Fontana,CA,0.9316
Melquise Stovall,Paraclete,Lancaster,CA,0.9198
Sean McGrew,St. John Bosco,Bellflower,CA,0.9113
D'Vaughn Pennamon,Manvel,Manvel,TX,0.9091
Demetric Felton,Great Oak,Temecula,CA,0.8838
Jalin Buie,Trinity Christian Academy,Jacksonville,FL,0.8615
Zion Echols,Charter Oak,Covina,CA,0.859
Devin White,North Webster,Springhill,LA,0.9393
Brandon Stephens,Plano,Plano,TX,0.8791
Matthew Falcon,Southfield,Southfield,MI,0.8757
Robert Washington,Mountain Island Charter,Mount Holly,NC,0.8429
Tray Staten,Holly Springs,Holly Springs,NC,0.7667
Jalen Starks,Crespi,Encino,CA,0.8305
Demetris Robertson,Savannah Christian Prep,Savannah,GA,0.9905
Tyler Vaughns,Bishop Amat,La Puente,CA,0.9816
Tyrie Cleveland,Westfield,Houston,TX,0.981
Devin Duvernay,Sachse,Sachse,TX,0.9803
Nate Craig-Myers,Tampa Catholic,Tampa,FL,0.9767
Michael Pittman Jr.,Oaks Christian,Westlake Village,CA,0.9688
Binjimen Victor,Coconut Creek,Pompano Beach,FL,0.9546
Theo Howard,Westlake,Westlake Village,CA,0.9533
DK Metcalf,Oxford,Oxford,MS,0.9485
Javon McKinley,Centennial,Corona,CA,0.9464
Kekoa Crawford,Santa Margarita Catholic,Rancho Santa Margarita,CA,0.9455
Quartney Davis,Langham Creek,Houston,TX,0.9422
Drake Davis,IMG Academy,Bradenton,FL,0.9419
Trevon Sidney,Bishop Amat,La Puente,CA,0.936
Dee Anderson,DeSoto,DeSoto,TX,0.9242
Klyde Chriss,Warren Easton,New Orleans,LA,0.9228
Darian Owens,Clovis West,Fresno,CA,0.9225
Collin Johnson,Valley Christian,San Jose,CA,0.9225
Mykel Jones,Patterson,Patterson,LA,0.9131
Dymond Lee,Chaminade,West Hills,CA,0.9056
Courtney Lark,Bellaire,Bellaire,TX,0.9055
Audie Omotosho,Plano East,Plano,TX,0.8933
Steffon McKnight,Mira Mesa,San Diego,CA,0.8863
Reggie Hemphill-Mapps,Manvel,Manvel,TX,0.8822
Velus Jones Jr.,Saraland,Saraland,AL,0.8727
Marquis Lawson,Crenshaw,Los Angeles,CA,0.8372
Conner O'Donnell,CFA Academy,Concord,NC,0.8196
A.J. Morris,Pearl-Cohn,Nashville,TN,0.7864
Devin Asiasi,De La Salle,Concord,CA,0.9633
Naseir Upshur,Imhotep Institute,Philadelphia,PA,0.9341
Cary Angeline,Downingtown East ,Exton,PA,0.9064
Thaddeus Moss,Mallard Creek,Charlotte,NC,0.8804
Cameron McCormick,Summit,Bend,OR,0.8656
