name,school,city,state,ranking
Amon-Ra St. Brown,Mater Dei,Santa Ana,CA,0.9948
Palaie Gaoteote IV,Bishop Gorman,Las Vegas,NV,0.9926
JT Daniels,Mater Dei,Santa Ana,CA,0.9919
Olaijah Griffin,Mission Viejo,Mission Viejo,CA,0.9849
Isaac Taylor-Stuart,Helix,La Mesa,CA,0.9827
Devon Williams,Antelope Valley,Lancaster,CA,0.9791
Solomon Tuliaupupu,Mater Dei,Santa Ana,CA,0.9582
Talanoa Hufanga,Crescent Valley,Corvallis,OR,0.9571
Justin Dedich,Chaparral,Temecula,CA,0.9507
Chase Williams,Eleanor Roosevelt,Corona,CA,0.9423
Raymond Scott,Narbonne,Harbor City,CA,0.9361
Abdul-Malik McClain,J Serra Catholic,San Juan Capistrano,CA,0.9152
Trevor Trout,Chaminade,Saint Louis,MO,0.9115
Markese Stepp,Cathedral,Indianapolis,IN,0.8991
Kana'i Mauga,Waianae,Waianae,HI,0.899
Caleb Tremblay,American River C.C.,Sacramento,CA,0.8967
Eli'jah Winston,Central Catholic,Portland,OR,0.8917
Liam Douglass,Harvard Westlake,Studio City,CA,0.8785
