name,school,city,state,ranking
Trevor Lawrence,Cartersville,Cartersville,GA,0.9999
JT Daniels,Mater Dei,Santa Ana,CA,0.9919
Tanner McKee,Centennial,Corona,CA,0.9764
Matt Corral,Long Beach Poly,Long Beach,CA,0.969
Jarren Williams,Central Gwinnett,Lawrenceville,GA,0.9614
Jacob Sirmon,Bothell,Bothell,WA,0.9559
Tyler Shough,Hamilton,Chandler,AZ,0.9422
Jack Tuttle,Mission Hills,San Marcos,CA,0.9321
Jack West,Saraland,Saraland,AL,0.9115
Cameron Rising,Newbury Park,Newbury Park,CA,0.9096
Brevin White,Paraclete,Lancaster,CA,0.8946
Allan Walters,The Peddie School,Hightstown,NJ,0.8784
Brock Purdy,Perry,Gilbert,AZ,0.8594
Justin Fields,Harrison,Kennesaw,GA,0.9998
Dorian Thompson-Robinson,Bishop Gorman,Las Vegas,NV,0.9813
Phil Jurkovec,Pine-Richland,Gibsonia,PA,0.9593
Emory Jones,Heard County,Franklin,GA,0.9587
Adrian Martinez,Clovis West,Fresno,CA,0.9423
Dakereon Joyner,Fort Dorchester,North Charleston,SC,0.9199
Gerry Bohanon,Earle,Earle,AR,0.9117
James Foster,Lanier,Montgomery,AL,0.9055
Layne Hatcher,Pulaski Academy,Little Rock,AR,0.8043
James Cook,Northwestern,Miami,FL,0.9786
Lyn-J Dixon,Taylor County,Butler,GA,0.9077
Jerome Ford,Armwood,Seffner,FL,0.8909
Slade Bolden,West Monroe,West Monroe,LA,0.8796
Zamir White,Scotland County,Laurinburg,NC,0.9957
Lorenzo Lingard,University,Orange City,FL,0.9861
Harold Joiner,Mountain Brook,Birmingham,AL,0.9375
Dameon Pierce,Bainbridge,Bainbridge,GA,0.9209
Asa Martin,Austin,Decatur,AL,0.9207
Fabian Franklin,Hattiesburg,Hattiesburg,MS,0.8999
Tavion Thomas,Dunbar,Dayton,OH,0.8865
Devon Lawrence,Wake Forest,Wake Forest,NC,0.8837
Charles Strong,Union County,Lake Butler,FL,0.8717
Andrew Cunningham,Cambridge Christian School,Tampa,FL,0.8389
Amon-Ra St. Brown,Mater Dei,Santa Ana,CA,0.9948
Terrace Marshall,Parkway,Bossier City,LA,0.993
Derion Kendrick,South Pointe,Rock Hill,SC,0.9855
Jaylen Waddle,Episcopal,Bellaire,TX,0.9791
