name,school,city,state,ranking
JT Daniels,Mater Dei,Santa Ana,CA,0.9919
Tanner McKee,Centennial,Corona,CA,0.9764
Matt Corral,Long Beach Poly,Long Beach,CA,0.969
Jack West,Saraland,Saraland,AL,0.9115
Cameron Rising,Newbury Park,Newbury Park,CA,0.9096
Connor Noland,Greenwood,Greenwood,AR,0.8946
Artur Sitkowski,IMG Academy,Bradenton,FL,0.8881
Dorian Thompson-Robinson,Bishop Gorman,Las Vegas,NV,0.9813
Phil Jurkovec,Pine-Richland,Gibsonia,PA,0.9593
Jaelen Gill,Westerville South,Westerville,OH,0.9831
T.J. Pledger,IMG Academy,Bradenton,FL,0.9543
Kazmeir Allen,Tulare Union,Tulare,CA,0.8875
Malone Mataele,Santa Margarita Catholic,Rancho Santa Margarita,CA,0.8721
Lavonte Valentine,Melbourne Central Catholic,Melbourne,FL,0.8721
Keegan Jones,Cleveland,Cleveland,TN,0.7882
Harold Joiner,Mountain Brook,Birmingham,AL,0.9375
Keaontay Ingram,Carthage,Carthage,TX,0.9324
Jeremy Banks,Cordova,Cordova,TN,0.8883
Devon Lawrence,Wake Forest,Wake Forest,NC,0.8837
Christopher Brooks,El Camino,Oceanside,CA,0.878
Andrew VanBuren,Chaminade,West Hills,CA,0.8664
AJ Carter,Many,Many,LA,0.8647
Justus Woods,Charlotte Christian,Charlotte,NC,0.8592
Deion Smith,Second Baptist,Houston,TX,0.8539
Demetrious Flowers,St. John Bosco,Bellflower,CA,0.8539
DeMarcus Townsend,Palmetto Ridge,Naples,FL,0.8466
Deneric Prince,Manvel,Manvel,TX,0.8452
Martell Irby,Morse,San Diego,CA,0.8436
Amon-Ra St. Brown,Mater Dei,Santa Ana,CA,0.9948
Terrace Marshall,Parkway,Bossier City,LA,0.993
Devon Williams,Antelope Valley,Lancaster,CA,0.9791
Marquis Spiker,Murrieta Valley,Murrieta,CA,0.9703
Brennan Eagles,Alief Taylor,Houston,TX,0.9699
Mark Pope,Miami Southridge,Miami,FL,0.9656
Kamryn Babb,Christian Brothers College,Saint Louis,MO,0.9629
Kevin Austin,North Broward Prep,Pompano Beach,FL,0.9601
Justin Watkins,East Ridge,Clermont,FL,0.9567
Jalen Hall,Long Beach Poly,Long Beach,CA,0.9454
Brian Hightower,IMG Academy,Bradenton,FL,0.9366
Chase Cota,South Medford,Medford,OR,0.9358
Isaah Crocker,Inderkum,Sacramento,CA,0.9274
Jahan Dotson,Nazareth,Nazareth,PA,0.9228
Elijah Moore,St. Thomas Aquinas,Fort Lauderdale,FL,0.9205
Austin Osborne,Mission Viejo,Mission Viejo,CA,0.918
Michael Wilson,Chaminade,West Hills,CA,0.9106
Kyle Philips,San Marcos,San Marcos,CA,0.9023
Josh Fleeks,Cedar Hill,Cedar Hill,TX,0.8984
Nikko Remigio,Mater Dei,Santa Ana,CA,0.8971
Kalon Barnes,Silsbee,Silsbee,TX,0.8884
Chris Olave,Mission Hills,San Marcos,CA,0.8875
Delon Hurt,Servite,Anaheim,CA,0.8809
Geordon Porter,Etiwanda,Rancho Cucamonga,CA,0.8742
John Jackson III,Junipero Serra,Gardena,CA,0.8742
Jalen Jordan,IMG Academy,Bradenton,FL,0.8689
Devon Cooley,St. John Bosco,Bellflower,CA,0.8688
CJ Parks,Mater Dei,Santa Ana,CA,0.8646
Brevin Jordan,Bishop Gorman,Las Vegas,NV,0.982
Kyle Pitts,Archbishop Wood,Warminster,PA,0.9334
Mustapha Muhammad,Ridge Point,Missouri City,TX,0.9318
Cam Jurgens,Beatrice,Beatrice,NE,0.9227
Spencer Webb,Christian Brothers,Sacramento,CA,0.9103
Michael Ezeike,Colony,Ontario,CA,0.9075
George Takacs,Gulf Coast,Naples,FL,0.9031
Camren McDonald,Long Beach Poly,Long Beach,CA,0.9023
John FitzPatrick,Marist School,Atlanta,GA,0.8975
Tommy Tremble,Wesleyan School,Norcross,GA,0.8797
Matt Alaimo,St. Joseph Regional ,Montvale,NJ,0.8742
David Priebe,Midway,Waco,TX,0.8451
Cole Ramseyer,Coeur d'Alene,Coeur D Alene,ID,0.8316
Nicholas Petit-Frere,Berkeley Prep,Tampa,FL,0.9963
Jackson Carman,Fairfield,Fairfield,OH,0.9894
Richard Gouraige,Cambridge Christian School,Tampa,FL,0.9603
Junior Angilau,East,Salt Lake City,UT,0.9458
Jaelyn Duncan,St. Frances Academy,Baltimore,MD,0.939
Tramonda Moore,Independence C.C.,Independence,KS,0.9128
Dawson Jaramillo,Lake Oswego,Lake Oswego,OR,0.9085
Will Craig,Granite Bay,Granite Bay,CA,0.9016
Daniel Faalele,IMG Academy,Bradenton,FL,0.9008
Rafiti Ghirmai,Wakeland,Frisco,TX,0.8993
Darian Kinnard,St Ignatius,Cleveland,OH,0.8981
Connor Galvin,Katy,Katy,TX,0.8928
Jarrett Patterson,Mission Viejo,Mission Viejo,CA,0.8912
Jerome Carvin,Cordova,Cordova,TN,0.8904
Matteo Mele,Salpointe Catholic,Tucson,AZ,0.8876
Qadir White,Cardinal Hayes,Bronx,NY,0.8874
Mikey Grandy,College of San Mateo,San Mateo,CA,0.8871
Reuben Unije,IMG Academy,Bradenton,FL,0.8824
Chris Bleich,Wyoming Valley West ,Plymouth,PA,0.8817
Jaren Kump,Herriman,Herriman,UT,0.8809
John Campbell,Dr. Phillips,Orlando,FL,0.8804
Joey Ramos,Deer Valley,Glendale,AZ,0.8709
Jason Dickson,Diablo Valley College,Pleasant Hill,CA,0.869
Alec Anderson,Etiwanda,Rancho Cucamonga,CA,0.8618
Cade Beresford,Woodinville,Woodinville,WA,0.8601
Ulumoo Ale,Fife,Tacoma,WA,0.8601
Willie Allen,Tyler J.C. ,Tyler,TX,0.8582
Brandon Mello,Clayton Valley,Concord,CA,0.8547
Miles Owens,Bishop O'Dowd,Oakland,CA,0.8539
Frank Fillip,Clear Lake,Houston,TX,0.8532
Jack York,First Baptist Academy,Dallas,TX,0.8505
Matthew Cindric,Skyline,Sammamish,WA,0.8484
Max Barth,St. Mary's,Stockton,CA,0.8477
Peace Addo,St. Frances Academy,Baltimore,MD,0.8336
Jon Gaines,Marquette University,Milwaukee,WI,0.8255
Penei Sewell,Desert HIlls,Saint George,UT,0.9709
Tommy Brown,Mater Dei,Santa Ana,CA,0.9449
Sam Taimani,East,Salt Lake City,UT,0.919
Chris Murray,Mater Dei,Santa Ana,CA,0.9119
Steven Jones,Chaparral,Temecula,CA,0.91
Barton Clement,Fort Bend Marshall,Missouri City,TX,0.8891
Jarrett Bell,Norco,Norco,CA,0.8831
Jalil Irvin,Stephenson,Stone Mountain,GA,0.8804
Victor Curne,Second Baptist,Houston,TX,0.8689
Jake Kradel,Butler Area,Butler,PA,0.8675
Baraka Beckett,Palisades,Pacific Palisades,CA,0.837
Will Lawrence,Harding Academy of Memphis,Memphis,TN,0.8326
Justin Dedich,Chaparral,Temecula,CA,0.9507
Emil Ekiyor,Cathedral,Indianapolis,IN,0.9496
Verdis Brown,IMG Academy,Bradenton,FL,0.8944
Trey Stratford,Allen,Allen,TX,0.8763
Jacob Isaia,Bishop Gorman,Las Vegas,NV,0.8559
Eyabi Anoma,St. Frances Academy,Baltimore,MD,0.9987
Ronnie Perkins,Lutheran North,Saint Louis,MO,0.9666
Cameron Latu,Olympus,Salt Lake City,UT,0.945
Jarell Cherry,Carter,Dallas,TX,0.9216
Abdul-Malik McClain,J Serra Catholic,San Juan Capistrano,CA,0.9152
Jeremiah Martin,Cajon,San Bernardino,CA,0.9083
Elijah Wade,Arbor View,Las Vegas,NV,0.9024
John Waggoner,Dowling Catholic,West Des Moines,IA,0.8891
Justin Ademilola,St. Peters Prep,Jersey City,NJ,0.8709
Draco Bynum,Wilsonville,Wilsonville,OR,0.8904
Steven Mason,Southwestern College,Chula Vista,CA,0.8326
Taron Vincent,IMG Academy,Bradenton,FL,0.9884
Tommy Togiai,Highland,Pocatello,ID,0.9721
Tyler Friday,Don Bosco Prep,Ramsey,NJ,0.956
Tuli Letuligasenoa,De La Salle,Concord,CA,0.9517
Keondre Coburn,Westfield,Houston,TX,0.9468
Jayson Ademilola,St. Peters Prep,Jersey City,NJ,0.9453
Trevor Trout,Chaminade,Saint Louis,MO,0.9115
Tyler Manoa,St. Francis,Mountain View,CA,0.8959
Aeneas Hawkins,Archbishop Moeller,Cincinnati,OH,0.8824
Otito Ogbonnia,Taylor,Katy,TX,0.8689
Devin Danielson,Thomas Jefferson,Clairton,PA,0.8675
Aaron Maldonado,Bishop Amat,La Puente,CA,0.8668
Josh Walker,IMG Academy,Bradenton,FL,0.8588
Mykee Irving,Calabasas,Calabasas,CA,0.8485
Atonio Mafi,Junipero Serra,San Mateo,CA,0.843
Palaie Gaoteote IV,Bishop Gorman,Las Vegas,NV,0.9926
Teradja Mitchell,Catholic,Virginia Beach,VA,0.9771
Solomon Tuliaupupu,Mater Dei,Santa Ana,CA,0.9582
