name,school,city,state,ranking
Dorian Thompson-Robinson,Bishop Gorman,Las Vegas,NV,0.9813
Chase Cota,South Medford,Medford,OR,0.9358
Chris Murray,Mater Dei,Santa Ana,CA,0.9119
Bo Calvert,Oaks Christian,Westlake Village,CA,0.9087
Stephan Blaylock,St. John Bosco,Bellflower,CA,0.9082
Michael Ezeike,Colony,Ontario,CA,0.9075
Elijah Wade,Arbor View,Las Vegas,NV,0.9024
Kyle Philips,San Marcos,San Marcos,CA,0.9023
Tyler Manoa,St. Francis,Mountain View,CA,0.8959
Kazmeir Allen,Tulare Union,Tulare,CA,0.8875
Delon Hurt,Servite,Anaheim,CA,0.8809
Matt Alaimo,St. Joseph Regional ,Montvale,NJ,0.8742
Rayshad Williams,Whitehaven,Memphis,TN,0.8709
Otito Ogbonnia,Taylor,Katy,TX,0.8689
Kenny Churchwell,Mountain Pointe,Phoenix,AZ,0.8626
Alec Anderson,Etiwanda,Rancho Cucamonga,CA,0.8618
Patrick Jolly,Newsome,Lithia,FL,0.856
Elisha Guidry,Vista Murrieta,Murrieta,CA,0.854
Je'Vari Anderson,Laney College,Oakland,CA,0.8499
David Priebe,Midway,Waco,TX,0.8451
Martell Irby,Morse,San Diego,CA,0.8436
Atonio Mafi,Junipero Serra,San Mateo,CA,0.843
Tyree Thompson,Los Angeles Valley College,Van Nuys,CA,0.8399
Baraka Beckett,Palisades,Pacific Palisades,CA,0.837
Steven Mason,Southwestern College,Chula Vista,CA,0.8326
Jon Gaines,Marquette University,Milwaukee,WI,0.8255
Keegan Jones,Cleveland,Cleveland,TN,0.7882
